Load,PV_rel
0.64550782,0.004706956
1.5595703,0.034390988
0.51538086,0.072007653
0.44458008,0.103967202
0.63549806,0.127769975
0.47973632,0.137953762
0.58496094,0.110715787
0.98461914,0.056956115
1.16015624,0.008171392
1.02026368,0
0.97973632,0
3.5703125,0
1.61010742,0
2.15429688,0
0.57519532,0
0.3203125,0
0.44018554,0
0.3449707,0
0.3544922,0
0.40039062,0
0.40014648,0
0.47973634,0
1.57983398,0
0.74536132,0
0.57495118,0.003245168
0.5246582,0.024290036
0.39526368,0.047771216
0.3203125,0.056951242
1.45996092,0.052814383
0.72973634,0.045101018
1.31030274,0.033314138
0.68331472,0.01627944
0.67630442,0.002158573
0.80981444,0
1.22045898,0
1.15942384,0
1.09545898,0
1.17480468,0
1.65039064,0
0.51953124,0
1.51049806,0
